filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,regime_true,steps,converged,stalled
ergun_comb_phi0.150_d6_Re1.1e-04,,,0.00047615005011963815,2.9915425902153617e-06,0.1666567055,1.0,6,0.15,319230739.77158105,0.00010770197027141025,298148292.91271806,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.7e-04,,,0.0007113814633725189,4.702111966225471e-06,0.1666567055,1.0,6,0.15,193049136.014503,0.0001692861485093549,189685842.6112702,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re2.8e-04,,,0.0011758161934617595,7.872645058124703e-06,0.1666567055,1.0,6,0.15,113828062.69280185,0.0002834321619825145,113294256.39844339,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re4.4e-04,,,0.001699086898896273,1.196884960718171e-05,0.1666567055,1.0,6,0.15,71164273.75912103,0.0004309043397182135,74520718.56414331,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re7.0e-04,,,0.00289818947192756,1.9282597459734426e-05,0.1666567055,1.0,6,0.15,46767801.49800268,0.0006942149996983263,46255723.50626024,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.1e-03,,,0.0044566116145411065,3.0294574109389743e-05,0.1666567055,1.0,6,0.15,29135758.943457007,0.001090669854003195,29442082.4925967,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.8e-03,,,0.007581670470251887,4.9640290437059405e-05,0.1666567055,1.0,6,0.15,18460672.893989366,0.0017871572687626206,17968143.792047456,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re2.9e-03,,,0.012134030211365053,8.0185421934097e-05,0.1666567055,1.0,6,0.15,11323103.699868027,0.0028868477278556426,11123684.547910064,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re4.6e-03,,,0.01843137546470257,0.0001247871501125457,0.1666567055,1.0,6,0.15,7101813.509862307,0.004492605913629285,7147987.560659924,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re7.3e-03,,,0.033338214584727036,0.0002081098366143341,0.1666567055,1.0,6,0.15,4618578.94634004,0.007492401916501371,4286264.094716073,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.2e-02,,,0.05013963288513241,0.0003126540046623641,0.1666567055,1.0,6,0.15,3077544.9768693526,0.011256216918161654,2853185.2591322223,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.9e-02,,,0.08349310812589839,0.0005399992675533001,0.1666567055,1.0,6,0.15,1717969.848221955,0.01944113557026843,1652150.3847092255,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re3.0e-02,,,0.1222450832925136,0.0008350132401284764,0.1666567055,1.0,6,0.15,1051952.0095298921,0.030062273376518043,1068593.861063086,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re4.8e-02,,,0.22681544085236105,0.0013824007278452225,0.1666567055,1.0,6,0.15,712124.5521955972,0.049769400770203844,645638.60557691,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re7.6e-02,,,0.35457812496396385,0.00223100568350384,0.1666567055,1.0,6,0.15,427426.88551466365,0.08032100515165314,400225.4676684293,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.2e-01,,,0.4783464990093343,0.0034125070313587463,0.1666567055,1.0,6,0.15,246460.16807726707,0.12285759595885255,261809.28584775847,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.9e-01,,,0.8304921110697903,0.005391990309788868,0.1666567055,1.0,6,0.15,171391.21428430013,0.19412325331688027,165856.83882505432,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re3.1e-01,,,1.261657775516191,0.008287262921444391,0.1666567055,1.0,6,0.15,110222.58293971086,0.29835929721211457,108066.38341773817,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re5.0e-01,,,2.1600223598988015,0.013937581474279669,0.1666567055,1.0,6,0.15,66716.71571039032,0.501782923134035,64434.770092221224,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re7.9e-01,,,3.0823649972178724,0.02121040444171216,0.1666567055,1.0,6,0.15,41109.04758259757,0.7636201991900827,42491.89541837901,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.3e+00,,,4.9411343171319055,0.03464816306464681,0.1666567055,1.0,6,0.15,24695.480506774053,1.2474084241865735,26183.000042901982,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re2.0e+00,,,8.81702331594788,0.059076971523610335,0.1666567055,1.0,6,0.15,15157.821619566765,2.1268980931683066,15538.366345960598,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re3.2e+00,,,13.867040521379542,0.09045492317108239,0.1666567055,1.0,6,0.15,10168.821333143092,3.256571869689902,10301.143764540368,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re5.2e+00,,,25.590130898014692,0.15002607756027678,0.1666567055,1.0,6,0.15,6821.6628023207,5.401261609372571,6385.8538334652485,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re8.2e+00,,,34.579139903934895,0.2329043637982021,0.1666567055,1.0,6,0.15,3824.8128137643625,8.385058246511495,4270.304014731183,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.3e+01,,,66.39542452712455,0.36558930864586436,0.1666567055,1.0,6,0.15,2980.5912977842304,13.162001764610581,2880.4236769222325,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re2.1e+01,,,112.3201443105779,0.6008774272221257,0.1666567055,1.0,6,0.15,1866.5392390211173,21.632880312354153,1925.1066988315379,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re3.4e+01,,,203.41044949925273,0.9836349585159209,0.1666567055,1.0,6,0.15,1261.4109580603335,35.412975033852,1347.5019230592393,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re5.4e+01,,,390.87498702458055,1.4583647625384988,0.1666567055,1.0,6,0.15,1102.6985558136996,52.50426947405961,1052.3312158158392,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re8.6e+01,,,850.7657723880517,2.3796553189595944,0.1666567055,1.0,6,0.15,901.4323654520475,85.67271188351654,815.5521644151828,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.4e+02,,,1586.5965916989726,3.8169893453240635,0.1666567055,1.0,6,0.15,653.3950981971249,137.41982960262214,674.4123382384748,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re2.2e+02,,,3343.001025680303,5.9942572940963785,0.1666567055,1.0,6,0.15,558.2349192175111,215.80616067427465,589.5368224224763,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re3.5e+02,,,8014.164686927401,9.319610026843018,0.1666567055,1.0,6,0.15,553.6228837480695,335.5260143496483,536.4445304255801,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re5.6e+02,,,21912.076073014614,15.740052152668499,0.1666567055,1.0,6,0.15,530.6674422068189,566.6757460053775,497.4064994880834,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re8.9e+02,,,50540.242652837645,24.15418845507591,0.1666567055,1.0,6,0.15,519.7609795841046,869.602757930766,477.66692435533747,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.4e+03,,,127955.76653301502,39.12637274395143,0.1666567055,1.0,6,0.15,501.5011546239163,1408.633608587136,463.53666930254667,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re2.3e+03,,,283067.87718404597,62.225020765277684,0.1666567055,1.0,6,0.15,438.643540178002,2240.2346396537046,455.0745567360487,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re3.6e+03,,,811901.9812472262,101.44905084353536,0.1666567055,1.0,6,0.15,473.32438067799035,3652.384122409117,449.5325627493007,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re5.8e+03,,,1886618.231026259,161.61481652063407,0.1666567055,1.0,6,0.15,433.3840564426945,5818.481147905593,446.2595540349404,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re9.2e+03,,,4204774.2391266115,246.77360598227827,0.1666567055,1.0,6,0.15,414.2824335251322,8884.38080814978,444.3550737825725,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.5e+04,,,13460237.96176848,416.5934516130638,0.1666567055,1.0,6,0.15,465.34934836244395,14998.26065911511,442.8817297421285,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re2.4e+04,,,29707933.656310324,652.2473613692223,0.1666567055,1.0,6,0.15,418.98553918599083,23482.308476422713,442.1082004665745,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re3.8e+04,,,79740766.88713898,1074.774738188615,0.1666567055,1.0,6,0.15,414.18728094898364,38694.203211233464,441.570609518134,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re6.0e+04,,,203300273.46705744,1636.9752482998022,0.1666567055,1.0,6,0.15,455.2028659292497,58934.63128490088,441.285600535585,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re9.6e+04,,,467288445.1581381,2496.9260056426997,0.1666567055,1.0,6,0.15,449.70213289758124,89894.70894020642,441.09794876209907,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.5e+05,,,1299220042.3377993,4193.089359138324,0.1666567055,1.0,6,0.15,443.36941048060663,150960.23936960608,440.9534531161663,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re2.5e+05,,,3432270646.003165,6800.107021860374,0.1666567055,1.0,6,0.15,445.3498197547017,244818.4848533577,440.87190367613084,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re3.9e+05,,,8740081463.05025,11115.68246899291,0.1666567055,1.0,6,0.15,424.418656740744,400188.4869490443,440.82098070805193,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re6.3e+05,,,25086392011.343475,18146.60771729239,0.1666567055,1.0,6,0.15,457.0866665065837,653316.9246151595,440.7898916350483,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.0e+06,,,63195519254.27292,28488.159693735604,0.1666567055,1.0,6,0.15,467.2063606172396,1025635.0481044017,440.77204925654326,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.0e-06,,,9.525575341309731e-07,1.7064129916508503e-08,0.1666567055,1.0,10,0.15,32713191691.90636,1.0239089909591728e-06,31361294652.084873,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.6e-06,,,1.329516263326278e-06,2.6680718423211226e-08,0.1666567055,1.0,10,0.15,18676634303.274124,1.600938788701258e-06,20057676185.583466,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re2.6e-06,,,2.180777289804188e-06,4.2348981810905677e-08,0.1666567055,1.0,10,0.15,12159770257.421732,2.54109078202711e-06,12636743424.592363,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re4.1e-06,,,3.528141518253691e-06,6.508120971527741e-08,0.1666567055,1.0,10,0.15,8329803625.995587,3.905105979385714e-06,8222853106.102283,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re6.5e-06,,,5.421142487239721e-06,1.0665336876555741e-07,0.1666567055,1.0,10,0.15,4765864239.942213,6.399584609906825e-06,5017687223.317499,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.0e-05,,,9.109397323810341e-06,1.679511015020857e-07,0.1666567055,1.0,10,0.15,3229415549.7352195,1.0077668402132531e-05,3186363578.4994802,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.7e-05,,,1.5996680755131124e-05,2.797917166408291e-07,0.1666567055,1.0,10,0.15,2043431914.6268754,1.6788506397111584e-05,1912684651.6861374,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re2.7e-05,,,2.4915629297696494e-05,4.4194712599922784e-07,0.1666567055,1.0,10,0.15,1275649116.7107015,2.6518412485912718e-05,1210899137.19059,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re4.2e-05,,,4.175084131457185e-05,7.365653976498202e-07,0.1666567055,1.0,10,0.15,769560212.4524848,4.4196565355110785e-05,726552625.3529295,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re6.8e-05,,,5.979613908537381e-05,1.0507856032273887e-06,0.1666567055,1.0,10,0.15,541557925.0306584,6.305090455705598e-05,509289107.361743,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.1e-04,,,9.950085327553953e-05,1.8203124955350424e-06,0.1666567055,1.0,10,0.15,300285875.2350986,0.00010922527779928077,293990181.559899,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.7e-04,,,0.0001587589512413011,2.910365868459514e-06,0.1666567055,1.0,10,0.15,187431700.00376818,0.0001746323893615858,183878764.96513948,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re2.8e-04,,,0.0002439767466510644,4.641542735816064e-06,0.1666567055,1.0,10,0.15,113246223.68327911,0.0002785092098089065,115296847.395097,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re4.4e-04,,,0.00036917310199419487,6.936086450166139e-06,0.1666567055,1.0,10,0.15,76736335.48786363,0.00041619006144137053,77155361.25927086,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re7.0e-04,,,0.0006467648391957175,1.145008551660803e-05,0.1666567055,1.0,10,0.15,49332024.81414369,0.0006870461936863398,46738362.30438299,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.1e-03,,,0.0009981719753195803,1.8574107681017107e-05,0.1666567055,1.0,10,0.15,28932732.681705423,0.0011145130719637983,28812225.832261093,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.8e-03,,,0.0015219179504186748,2.9173645753525285e-05,0.1666567055,1.0,10,0.15,17881742.18803288,0.0017505233687416968,18344161.07290236,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re2.9e-03,,,0.0023743260288422493,4.77858866562644e-05,0.1666567055,1.0,10,0.15,10397790.342803312,0.0028673245707634847,11199420.946375733,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re4.6e-03,,,0.0041016601292138,7.704728118243761e-05,0.1666567055,1.0,10,0.15,6909474.763512055,0.004623113180551719,6946217.289364843,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re7.3e-03,,,0.00558758679714578,0.00011770123640826894,0.1666567055,1.0,10,0.15,4033315.845309841,0.007062496288711824,4547149.128033653,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.2e-02,,,0.01043255779565196,0.00019783534007276465,0.1666567055,1.0,10,0.15,2665526.789191227,0.011870829888255809,2705484.2308239117,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.9e-02,,,0.016201807415019205,0.0003062695646220637,0.1666567055,1.0,10,0.15,1727252.3142324605,0.018377272231753297,1747768.1300378155,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re3.0e-02,,,0.028031738810433256,0.0005248867718776796,0.1666567055,1.0,10,0.15,1017463.3679813315,0.03149508867962589,1020000.0579965683,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re4.8e-02,,,0.03957207377832486,0.0007960080176160402,0.1666567055,1.0,10,0.15,624530.8928481085,0.04776333572824888,672736.9826491445,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re7.6e-02,,,0.07473414496244214,0.001332421502114954,0.1666567055,1.0,10,0.15,420955.12858191115,0.07995006850264144,402080.31044355105,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.2e-01,,,0.11239066833179676,0.0020915558835448256,0.1666567055,1.0,10,0.15,256916.0924946065,0.12550085382221993,256304.42718703838,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.9e-01,,,0.18181194324683897,0.0033258398223136045,0.1666567055,1.0,10,0.15,164368.93851491067,0.19956231657979132,161348.42943392185,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re3.1e-01,,,0.2807950712920265,0.005264260294380904,0.1666567055,1.0,10,0.15,101324.57022647365,0.3158744965338886,102098.55567505302,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re5.0e-01,,,0.4478889092609594,0.007898325080275317,0.1666567055,1.0,10,0.15,71796.00835595092,0.4739278300611383,68196.01712315677,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re7.9e-01,,,0.6646812194811422,0.012442785325067787,0.1666567055,1.0,10,0.15,42931.710422031865,0.7466117422480661,43449.85685030497,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.3e+00,,,1.081706664941795,0.020934038472267092,0.1666567055,1.0,10,0.15,24683.314096879345,1.2561173827036376,26004.522878677493,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re2.0e+00,,,1.8668571649988153,0.03426855705332402,0.1666567055,1.0,10,0.15,15897.156694753136,2.0562363182754755,16057.19047743349,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re3.2e+00,,,3.0404674537221092,0.05304024036811257,0.1666567055,1.0,10,0.15,10807.603215320953,3.1826046368180827,10530.310378022265,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re5.2e+00,,,5.192495453229133,0.08462095644403768,0.1666567055,1.0,10,0.15,7251.373339167846,5.077560857222014,6764.862108077623,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re8.2e+00,,,8.068003969626748,0.1385658083525216,0.1666567055,1.0,10,0.15,4201.979641311895,8.314445430611348,4302.827680765318,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.3e+01,,,12.118775724691444,0.20660239593002577,0.1666567055,1.0,10,0.15,2839.14805791512,12.396884680408242,3030.997239767371,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re2.1e+01,,,25.03556204778041,0.36142386765455886,0.1666567055,1.0,10,0.15,1916.565594818432,21.686728209958456,1921.4210351691934,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re3.4e+01,,,46.8784589896795,0.5540611914170095,0.1666567055,1.0,10,0.15,1527.0661971131942,33.24565847829084,1406.6145594855077,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re5.4e+01,,,76.20902545826821,0.8588650436019686,0.1666567055,1.0,10,0.15,1033.133761526749,51.53498270742959,1063.8342089855994,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re8.6e+01,,,167.1315444765757,1.4056231966037858,0.1666567055,1.0,10,0.15,845.9030587973376,84.34243269040175,821.4638250390359,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.4e+02,,,328.87113173623794,2.2323943899014824,0.1666567055,1.0,10,0.15,659.9087820061523,133.95166928350702,680.4623603582489,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re2.2e+02,,,741.6969756231297,3.4665112776934164,0.1666567055,1.0,10,0.15,617.221823433745,208.00310838338373,595.118775572437,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re3.5e+02,,,1835.9337227624753,5.952490760601199,0.1666567055,1.0,10,0.15,518.154816122997,357.170792662837,530.6448196037162,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re5.6e+02,,,4061.5601828841654,9.32639131047368,0.1666567055,1.0,10,0.15,466.94488903777545,559.6169252531924,498.1212624191779,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re8.9e+02,,,10924.953501396361,14.615987376270578,0.1666567055,1.0,10,0.15,511.4030086573412,877.0116589320542,477.3549758926579,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.4e+03,,,29393.45797466646,23.775714578135617,0.1666567055,1.0,10,0.15,519.976270045651,1426.6281399721788,463.2491367350448,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re2.3e+03,,,63948.01185035614,36.94016167122111,0.1666567055,1.0,10,0.15,468.62932666252516,2216.5421763495206,455.22776988628846,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re3.6e+03,,,166861.89585993724,60.061699002577335,0.1666567055,1.0,10,0.15,462.55347422397574,3603.9173354820296,449.65079835914514,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re5.8e+03,,,403933.4692616301,96.48075673786867,0.1666567055,1.0,10,0.15,433.9387536400086,5789.191406874935,446.2874758293367,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re9.2e+03,,,1168151.9852196565,150.18288819952537,0.1666567055,1.0,10,0.15,517.9149497390832,9011.511883002233,444.30408410953555,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.5e+04,,,2416276.268924833,245.64424949687813,0.1666567055,1.0,10,0.15,400.436249356867,14739.535907655281,442.91931076576,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re2.4e+04,,,6804229.4724523695,385.7035519822634,0.1666567055,1.0,10,0.15,457.37421285021315,23143.59634225839,442.12821357064314,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re3.8e+04,,,18102355.847399987,618.8415307285326,0.1666567055,1.0,10,0.15,472.689760242744,37132.711154459525,441.60550687584845,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re6.0e+04,,,46824445.88194582,1034.0555989515738,0.1666567055,1.0,10,0.15,437.9100030049412,62047.04430279126,441.25826919792894,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re9.6e+04,,,104746670.3840352,1580.2333258325841,0.1666567055,1.0,10,0.15,419.4669940512685,94819.66663697094,441.0793952862588,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.5e+05,,,257449493.5024932,2506.9387430727425,0.1666567055,1.0,10,0.15,409.6421128747247,150425.3150541694,440.9542095381938,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re2.5e+05,,,858103246.1719267,4239.7981472658985,0.1666567055,1.0,10,0.15,477.3634718017643,254403.0937456578,440.8669621268031,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re3.9e+05,,,1644225323.2484822,6290.383397115751,0.1666567055,1.0,10,0.15,415.5345121475576,377445.5626158859,440.82581555494323,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re6.3e+05,,,4112342591.2299995,9894.442149591197,0.1666567055,1.0,10,0.15,420.05548542831804,593702.0127636687,440.79482698336886,inertial,0,TRUE,FALSE
ergun_comb_phi0.150_d10_Re1.0e+06,,,9596554723.47823,15182.764104098558,0.1666567055,1.0,10,0.15,416.3069443554226,911020.2951958965,440.7759881565014,inertial,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re1.0e-06,,,1.2499583009866763e-06,2.8878114766739507e-08,0.1666567055,1.0,6,0.21363636363636362,8993093306.070307,1.0396742698147063e-06,9149877569.017696,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re1.6e-06,,,1.9561882915708926e-06,4.55193035840516e-08,0.1666567055,1.0,6,0.21363636363636362,5664618776.07213,1.6387928747596033e-06,5804816771.866141,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re2.6e-06,,,3.3231465235605193e-06,7.471204874459644e-08,0.1666567055,1.0,6,0.21363636363636362,3572065792.8242087,2.689794515754295e-06,3536661428.0887246,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re4.1e-06,,,5.5991494835356276e-06,1.1190873559557408e-07,0.1666567055,1.0,6,0.21363636363636362,2682534615.8210874,4.028955280010887e-06,2361131370.594434,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re6.5e-06,,,7.418528189188411e-06,1.790619764800105e-07,0.1666567055,1.0,6,0.21363636363636362,1388232648.172314,6.446616448205637e-06,1475641232.8860023,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re1.0e-05,,,1.2771472885671774e-05,2.9057038345253625e-07,0.1666567055,1.0,6,0.21363636363636362,907589667.6215664,1.0461159036383431e-05,909353693.7046832,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re1.7e-05,,,2.0031959760733245e-05,4.76325126107129e-07,0.1666567055,1.0,6,0.21363636363636362,529746025.8281123,1.7148729467970755e-05,554728825.3504628,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re2.7e-05,,,3.4692461581348805e-05,7.548920978285624e-07,0.1666567055,1.0,6,0.21363636363636362,365272189.58033335,2.717773985380609e-05,350025278.7994947,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re4.2e-05,,,5.122346217674553e-05,1.1536949692003692e-06,0.1666567055,1.0,6,0.21363636363636362,230907575.691049,4.1535501343522084e-05,229030532.63231117,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re6.8e-05,,,9.080884486351395e-05,1.8338182346222922e-06,0.1666567055,1.0,6,0.21363636363636362,162019328.53518584,6.602140234755662e-05,144088145.865267,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re1.1e-04,,,0.00012658751916266118,2.940327659185975e-06,0.1666567055,1.0,6,0.21363636363636362,87851803.31066197,0.00010585812255310574,89864687.23061936,viscous,0,TRUE,FALSE
ergun_comb_phi0.214_d6_Re1.7e-04,,,0.00020109027317146108,4.645934155031799e-06,0.1666567055,1.0,6,0.21363636363636362,55897992.82698085,0.00016726362642630537,56873786.27257426,viscous,0,TRUE,FALSE
